,comb_str,comb_freq,comb_size,imp_flag,bkt_below_10_cnt,bkt_10_20_cnt,bkt_20_50_cnt,bkt_50_100_cnt,bkt_100_above,comb_detail_str,conf_detail_str,conf_max,conf_min,conf_flag
1408,GARLIC_SAUSAGE,2,3345,0,4,0,0,0,0,GARLIC~2#:#SAUSAGE~2,1.0#:#1.0,1.0,1.0,1
1409,LICIOUS_SAUSAGE,6,3345,0,4,0,0,0,0,LICIOUS~2#:#SAUSAGE~2,3.0#:#3.0,3.0,3.0,1
1410,PEPPERS_SAUSAGE,2,3345,0,4,0,0,0,0,PEPPERS~2#:#SAUSAGE~2,1.0#:#1.0,1.0,1.0,1
1411,PRASUMA_SMOKE,4,3345,0,4,0,0,0,0,PRASUMA~2#:#SMOKE~2,2.0#:#2.0,2.0,2.0,1
1412,PRASUMA_SPICY,2,3345,0,4,0,0,0,0,PRASUMA~2#:#SPICY~2,1.0#:#1.0,1.0,1.0,1
1413,CHEESE_LICIOUS,2,3345,0,4,0,0,0,0,CHEESE~3#:#LICIOUS~2,0.67#:#1.0,1.0,0.67,0
1414,CHEESE_SAUSAGE,3,3345,0,4,0,0,0,0,CHEESE~3#:#SAUSAGE~2,1.0#:#1.5,1.5,1.0,1
1415,FRESH_GARLIC,5,3345,1,4,0,0,0,0,FRESH~3#:#GARLIC~2,1.67#:#2.5,2.5,1.67,1
1416,CHICKEN_MEATIGO,5,3345,0,4,0,0,0,0,CHICKEN~3#:#MEATIGO~2,1.67#:#2.5,2.5,1.67,1
1417,CHICKEN_SWEET,2,3345,1,4,0,0,0,0,CHICKEN~3#:#SWEET~2,0.67#:#1.0,1.0,0.67,0
1418,MEATIGO_SAUSAGE,3,3345,0,4,0,0,0,0,MEATIGO~2#:#SAUSAGE~2,1.5#:#1.5,1.5,1.5,1
1419,STYLE_SWEET,4,3345,1,4,0,0,0,0,STYLE~2#:#SWEET~2,2.0#:#2.0,2.0,2.0,1
1420,SAUSAGE_SLICED,2,3345,0,4,0,0,0,0,SAUSAGE~2#:#SLICED~2,1.0#:#1.0,1.0,1.0,1
