,ing_id,cls_rep_id
556,10553,20061
557,20063,20061
558,20103,20103
559,20601,20601
560,20968,20968
561,10560,10560
562,10562,10562
563,10313,10313
564,10988,10988
565,10901,10901
566,10890,10901
567,10781,10781
568,10137,10137
569,10138,10137
570,10136,10137
571,10805,10805
572,10832,10832
573,10784,10784
574,10790,10784
575,10365,10365
576,10351,10351
577,10414,10414
578,10418,10414
579,10412,10414
580,10410,10410
581,10393,10393
582,10586,10586
583,10692,10692
584,10956,10956
585,10506,10506
586,10531,10506
587,10505,10506
588,11060,11060
589,10557,10557
590,11066,11066
591,11088,11088
592,20689,20689
593,20720,20720
594,20721,20721
595,20744,20744
596,20773,20773
597,20807,20807
598,20806,20807
599,20975,20975
600,20381,20381
601,20535,20535
602,20536,20535
603,20078,20078
604,20087,20087
605,20086,20087
606,20090,20090
607,20110,20110
608,20121,20121
609,20123,20121
610,20119,20121
611,10308,20121
612,10271,20121
613,20132,20132
614,20737,20737
615,10440,10440
616,10935,10935
617,10760,10760
618,10989,10989
619,11147,11147
620,10973,10973
621,10983,10983
622,10144,10144
623,10777,10777
624,10826,10826
625,10833,10833
626,10103,10103
627,10104,10104
628,10029,10029
629,10026,10026
630,10416,10416
631,20547,10416
632,10051,10051
633,10656,10656
634,10064,10064
635,10065,10064
636,10731,10731
637,10710,10710
638,10615,10615
639,10632,10632
640,10945,10945
641,10952,10945
642,10951,10945
643,10958,10958
644,10957,10958
645,10968,10958
646,10969,10958
647,10971,10958
648,10943,10958
649,11182,11182
650,11184,11182
651,10244,10244
652,10242,10244
653,10486,10486
654,10494,10486
655,10267,10267
656,10268,10267
657,10164,10164
658,10168,10168
659,11002,11002
660,11038,11038
661,20751,20751
662,20750,20751
663,20815,20815
664,20817,20817
665,20864,20864
666,20890,20890
667,20295,20295
668,20363,20363
669,20364,20364
670,20378,20378
671,20074,20074
672,20136,20136
673,20137,20136
674,20141,20141
675,20183,20183
676,20574,20574
677,20590,20590
678,10434,10434
679,10265,10265
680,10248,10248
681,10249,10249
682,11148,11148
683,10981,10981
684,10546,10546
685,10757,10757
686,10916,10916
687,10778,10778
688,10922,10922
689,10866,10866
690,10897,10897
691,10896,10897
692,10789,10789
693,10028,10028
694,10353,10353
695,10363,10363
696,10394,10394
697,10094,10094
698,10662,10662
699,10060,10662
700,10582,10662
701,10713,10713
702,10637,10637
703,11370,11370
704,11373,11370
705,11374,11370
706,11378,11370
707,11387,11370
708,11376,11370
709,11371,11370
710,11377,11370
711,10449,10449
712,10483,10483
713,10529,10529
714,10530,10529
715,10533,10533
716,10539,10539
717,10541,10539
718,10500,10539
719,10502,10539
720,10517,10539
721,10519,10539
722,10007,10007
723,10296,10007
724,11034,11034
725,20554,20554
726,20843,20843
727,10143,20843
728,20842,20843
729,20667,20667
730,20672,20672
731,20675,20675
732,20691,20691
733,20870,20870
734,20876,20876
735,20884,20884
736,20904,20904
737,20911,20911
738,20921,20921
739,20920,20921
740,20930,20930
741,21002,21002
742,21001,21002
743,20005,20005
744,20373,20373
745,20539,20539
746,20541,20539
747,20077,20077
748,20102,20102
749,20113,20102
750,20156,20156
751,20181,20181
752,10761,10761
753,10758,10758
754,10773,10773
755,10831,10831
756,10115,10115
757,10869,10115
758,10928,10115
759,10116,10115
760,10112,10115
761,10018,10018
762,10349,10349
763,10362,10362
764,11234,10362
765,10364,10364
766,10395,10395
767,10040,10395
768,10061,10061
769,10584,10584
770,10587,10587
771,10072,10072
772,10606,10606
773,11372,11372
